date,date_id,wind,desc,temp,baro,hum,day,month,day_date,year,day_name,Start_hour,End_hour
"Wednesday 24 July 2024, 06.00 — 12.00",1721800800000.0,17.0,Scattered clouds.,34.0,1005.0,69,2024-07-24,7,24,2024,2,06:00,12:00
"Wednesday 24 July 2024, 12.00 — 18.00",1721822400000.0,20.0,Scattered clouds.,35.0,1002.0,57,2024-07-24,7,24,2024,2,12:00,18:00
"Wednesday 24 July 2024, 18.00 — 00.00",1721844000000.0,16.0,Partly cloudy.,34.0,1003.0,65,2024-07-24,7,24,2024,2,18:00,00:00
"Thursday 25 July 2024, 00.00 — 06.00",1721865600000.0,15.0,Partly cloudy.,30.0,1003.0,72,2024-07-25,7,25,2024,3,00:00,06:00
"Thursday 25 July 2024, 06.00 — 12.00",1721887200000.0,18.0,Broken clouds.,34.0,1004.0,68,2024-07-25,7,25,2024,3,06:00,12:00
"Thursday 25 July 2024, 12.00 — 18.00",1721908800000.0,19.0,Broken clouds.,36.0,1001.0,60,2024-07-25,7,25,2024,3,12:00,18:00
"Thursday 25 July 2024, 18.00 — 00.00",1721930400000.0,16.0,Partly cloudy.,34.0,1003.0,70,2024-07-25,7,25,2024,3,18:00,00:00
"Friday 26 July 2024, 00.00 — 06.00",1721952000000.0,16.0,Partly cloudy.,30.0,1003.0,75,2024-07-26,7,26,2024,4,00:00,06:00
"Friday 26 July 2024, 06.00 — 12.00",1721973600000.0,19.0,Broken clouds.,34.0,1004.0,69,2024-07-26,7,26,2024,4,06:00,12:00
"Friday 26 July 2024, 12.00 — 18.00",1721995200000.0,21.0,Broken clouds.,35.0,1001.0,59,2024-07-26,7,26,2024,4,12:00,18:00
"Friday 26 July 2024, 18.00 — 00.00",1722016800000.0,19.0,Partly cloudy.,34.0,1003.0,66,2024-07-26,7,26,2024,4,18:00,00:00
"Saturday 27 July 2024, 00.00 — 06.00",1722038400000.0,19.0,Partly cloudy.,31.0,1003.0,71,2024-07-27,7,27,2024,5,00:00,06:00
"Saturday 27 July 2024, 06.00 — 12.00",1722060000000.0,21.0,Broken clouds.,33.0,1004.0,67,2024-07-27,7,27,2024,5,06:00,12:00
"Saturday 27 July 2024, 12.00 — 18.00",1722081600000.0,20.0,Broken clouds.,36.0,1001.0,56,2024-07-27,7,27,2024,5,12:00,18:00
"Saturday 27 July 2024, 18.00 — 00.00",1722103200000.0,16.0,Partly cloudy.,34.0,1003.0,61,2024-07-27,7,27,2024,5,18:00,00:00
"Sunday 28 July 2024, 00.00 — 06.00",1722124800000.0,16.0,Partly cloudy.,31.0,1002.0,64,2024-07-28,7,28,2024,6,00:00,06:00
"Sunday 28 July 2024, 06.00 — 12.00",1722146400000.0,21.0,Broken clouds.,34.0,1003.0,61,2024-07-28,7,28,2024,6,06:00,12:00
"Sunday 28 July 2024, 12.00 — 18.00",1722168000000.0,21.0,Broken clouds.,35.0,1000.0,54,2024-07-28,7,28,2024,6,12:00,18:00
"Sunday 28 July 2024, 18.00 — 00.00",1722189600000.0,17.0,Partly cloudy.,34.0,1000.0,57,2024-07-28,7,28,2024,6,18:00,00:00
"Monday 29 July 2024, 00.00 — 06.00",1722211200000.0,18.0,Partly cloudy.,31.0,1001.0,66,2024-07-29,7,29,2024,0,00:00,06:00
"Monday 29 July 2024, 06.00 — 12.00",1722232800000.0,17.0,Scattered clouds.,35.0,1002.0,61,2024-07-29,7,29,2024,0,06:00,12:00
"Monday 29 July 2024, 12.00 — 18.00",1722254400000.0,20.0,Broken clouds.,36.0,1000.0,58,2024-07-29,7,29,2024,0,12:00,18:00
"Monday 29 July 2024, 18.00 — 00.00",1722276000000.0,15.0,Broken clouds.,32.0,1001.0,75,2024-07-29,7,29,2024,0,18:00,00:00
"Sunday 14 July 2024, 18.00 — 00.00",1720980000000.0,9.0,Drizzle. Fog.,30.0,1003.0,82,2024-07-14,7,14,2024,6,18:00,00:00
"Monday 15 July 2024, 00.00 — 06.00",1721001600000.0,14.0,Fog.,29.0,1002.0,80,2024-07-15,7,15,2024,0,00:00,06:00
"Monday 15 July 2024, 06.00 — 12.00",1721023200000.0,17.0,Drizzle. Broken clouds.,29.0,1003.0,82,2024-07-15,7,15,2024,0,06:00,12:00
"Monday 15 July 2024, 12.00 — 18.00",1721044800000.0,13.0,Drizzle. Broken clouds.,29.0,1001.0,85,2024-07-15,7,15,2024,0,12:00,18:00
"Monday 15 July 2024, 18.00 — 00.00",1721066400000.0,19.0,Fog.,29.0,1002.0,84,2024-07-15,7,15,2024,0,18:00,00:00
"Tuesday 16 July 2024, 00.00 — 06.00",1721088000000.0,21.0,Fog.,28.0,1001.0,84,2024-07-16,7,16,2024,1,00:00,06:00
"Tuesday 16 July 2024, 06.00 — 12.00",1721109600000.0,21.0,Broken clouds.,31.0,1003.0,79,2024-07-16,7,16,2024,1,06:00,12:00
"Tuesday 16 July 2024, 12.00 — 18.00",1721131200000.0,18.0,Broken clouds.,32.0,1001.0,70,2024-07-16,7,16,2024,1,12:00,18:00
"Tuesday 16 July 2024, 18.00 — 00.00",1721152800000.0,19.0,Drizzle. Fog.,31.0,1002.0,76,2024-07-16,7,16,2024,1,18:00,00:00
"Wednesday 17 July 2024, 00.00 — 06.00",1721174400000.0,17.0,Fog.,29.0,1002.0,83,2024-07-17,7,17,2024,2,00:00,06:00
"Wednesday 17 July 2024, 06.00 — 12.00",1721196000000.0,13.0,Fog.,33.0,1004.0,79,2024-07-17,7,17,2024,2,06:00,12:00
"Wednesday 17 July 2024, 12.00 — 18.00",1721217600000.0,21.0,Broken clouds.,35.0,1001.0,66,2024-07-17,7,17,2024,2,12:00,18:00
"Wednesday 17 July 2024, 18.00 — 00.00",1721239200000.0,20.0,Partly cloudy.,33.0,1003.0,71,2024-07-17,7,17,2024,2,18:00,00:00
"Thursday 18 July 2024, 00.00 — 06.00",1721260800000.0,20.0,Fog.,30.0,1002.0,78,2024-07-18,7,18,2024,3,00:00,06:00
"Thursday 18 July 2024, 06.00 — 12.00",1721282400000.0,18.0,Fog.,32.0,1004.0,75,2024-07-18,7,18,2024,3,06:00,12:00
"Thursday 18 July 2024, 12.00 — 18.00",1721304000000.0,17.0,Broken clouds.,32.0,1002.0,73,2024-07-18,7,18,2024,3,12:00,18:00
"Thursday 18 July 2024, 18.00 — 00.00",1721325600000.0,18.0,Fog.,28.0,1003.0,84,2024-07-18,7,18,2024,3,18:00,00:00
"Friday 19 July 2024, 00.00 — 06.00",1721347200000.0,18.0,Fog.,28.0,1002.0,80,2024-07-19,7,19,2024,4,00:00,06:00
"Friday 19 July 2024, 06.00 — 12.00",1721368800000.0,19.0,Drizzle. Fog.,32.0,1003.0,76,2024-07-19,7,19,2024,4,06:00,12:00
"Friday 19 July 2024, 12.00 — 18.00",1721390400000.0,21.0,Broken clouds.,32.0,1001.0,71,2024-07-19,7,19,2024,4,12:00,18:00
"Friday 19 July 2024, 18.00 — 00.00",1721412000000.0,20.0,Fog.,30.0,1002.0,79,2024-07-19,7,19,2024,4,18:00,00:00
"Saturday 20 July 2024, 00.00 — 06.00",1721433600000.0,14.0,Fog.,28.0,1002.0,79,2024-07-20,7,20,2024,5,00:00,06:00
"Saturday 20 July 2024, 06.00 — 12.00",1721455200000.0,14.0,Fog.,32.0,1004.0,74,2024-07-20,7,20,2024,5,06:00,12:00
"Saturday 20 July 2024, 12.00 — 18.00",1721476800000.0,19.0,Broken clouds.,34.0,1002.0,65,2024-07-20,7,20,2024,5,12:00,18:00
"Saturday 20 July 2024, 18.00 — 00.00",1721498400000.0,14.0,Passing clouds.,33.0,1003.0,67,2024-07-20,7,20,2024,5,18:00,00:00
"Sunday 21 July 2024, 00.00 — 06.00",1721520000000.0,14.0,Passing clouds.,31.0,1003.0,72,2024-07-21,7,21,2024,6,00:00,06:00
"Sunday 21 July 2024, 06.00 — 12.00",1721541600000.0,17.0,Scattered clouds.,32.0,1004.0,69,2024-07-21,7,21,2024,6,06:00,12:00
"Sunday 21 July 2024, 12.00 — 18.00",1721563200000.0,20.0,Broken clouds.,35.0,1002.0,62,2024-07-21,7,21,2024,6,12:00,18:00
"Sunday 21 July 2024, 18.00 — 00.00",1721584800000.0,19.0,Partly cloudy.,34.0,1004.0,65,2024-07-21,7,21,2024,6,18:00,00:00
"Monday 22 July 2024, 00.00 — 06.00",1721606400000.0,15.0,Partly cloudy.,31.0,1004.0,69,2024-07-22,7,22,2024,0,00:00,06:00
"Monday 22 July 2024, 06.00 — 12.00",1721628000000.0,17.0,Broken clouds.,33.0,1006.0,67,2024-07-22,7,22,2024,0,06:00,12:00
"Monday 22 July 2024, 12.00 — 18.00",1721649600000.0,14.0,Broken clouds.,34.0,1004.0,63,2024-07-22,7,22,2024,0,12:00,18:00
"Monday 22 July 2024, 18.00 — 00.00",1721671200000.0,15.0,Partly cloudy.,33.0,1006.0,66,2024-07-22,7,22,2024,0,18:00,00:00
"Tuesday 23 July 2024, 00.00 — 06.00",1721692800000.0,15.0,Passing clouds.,30.0,1006.0,70,2024-07-23,7,23,2024,1,00:00,06:00
"Tuesday 23 July 2024, 06.00 — 12.00",1721714400000.0,18.0,Broken clouds.,34.0,1007.0,66,2024-07-23,7,23,2024,1,06:00,12:00
"Tuesday 23 July 2024, 12.00 — 18.00",1721736000000.0,21.0,Broken clouds.,36.0,1004.0,59,2024-07-23,7,23,2024,1,12:00,18:00
"Tuesday 23 July 2024, 18.00 — 00.00",1721757600000.0,12.0,Fog.,34.0,1006.0,80,2024-07-23,7,23,2024,1,18:00,00:00
"Wednesday 24 July 2024, 00.00 — 06.00",1721779200000.0,16.0,Fog.,29.0,1005.0,81,2024-07-24,7,24,2024,2,00:00,06:00
"Wednesday 24 July 2024, 06.00 — 12.00",1721800800000.0,17.0,Scattered clouds.,34.0,1005.0,69,2024-07-24,7,24,2024,2,06:00,12:00
"Wednesday 24 July 2024, 12.00 — 18.00",1721822400000.0,20.0,Scattered clouds.,35.0,1002.0,57,2024-07-24,7,24,2024,2,12:00,18:00
"Wednesday 24 July 2024, 18.00 — 00.00",1721844000000.0,16.0,Partly cloudy.,34.0,1003.0,65,2024-07-24,7,24,2024,2,18:00,00:00
"Thursday 25 July 2024, 00.00 — 06.00",1721865600000.0,15.0,Partly cloudy.,30.0,1003.0,72,2024-07-25,7,25,2024,3,00:00,06:00
"Thursday 25 July 2024, 06.00 — 12.00",1721887200000.0,18.0,Broken clouds.,34.0,1004.0,68,2024-07-25,7,25,2024,3,06:00,12:00
"Thursday 25 July 2024, 12.00 — 18.00",1721908800000.0,19.0,Broken clouds.,36.0,1001.0,60,2024-07-25,7,25,2024,3,12:00,18:00
"Thursday 25 July 2024, 18.00 — 00.00",1721930400000.0,16.0,Partly cloudy.,34.0,1003.0,70,2024-07-25,7,25,2024,3,18:00,00:00
"Friday 26 July 2024, 00.00 — 06.00",1721952000000.0,16.0,Partly cloudy.,30.0,1003.0,75,2024-07-26,7,26,2024,4,00:00,06:00
"Friday 26 July 2024, 06.00 — 12.00",1721973600000.0,19.0,Broken clouds.,34.0,1004.0,69,2024-07-26,7,26,2024,4,06:00,12:00
"Friday 26 July 2024, 12.00 — 18.00",1721995200000.0,21.0,Broken clouds.,35.0,1001.0,59,2024-07-26,7,26,2024,4,12:00,18:00
"Friday 26 July 2024, 18.00 — 00.00",1722016800000.0,19.0,Partly cloudy.,34.0,1003.0,66,2024-07-26,7,26,2024,4,18:00,00:00
"Saturday 27 July 2024, 00.00 — 06.00",1722038400000.0,19.0,Partly cloudy.,31.0,1003.0,71,2024-07-27,7,27,2024,5,00:00,06:00
"Saturday 27 July 2024, 06.00 — 12.00",1722060000000.0,21.0,Broken clouds.,33.0,1004.0,67,2024-07-27,7,27,2024,5,06:00,12:00
"Saturday 27 July 2024, 12.00 — 18.00",1722081600000.0,20.0,Broken clouds.,36.0,1001.0,56,2024-07-27,7,27,2024,5,12:00,18:00
"Saturday 27 July 2024, 18.00 — 00.00",1722103200000.0,16.0,Partly cloudy.,34.0,1003.0,61,2024-07-27,7,27,2024,5,18:00,00:00
"Sunday 28 July 2024, 00.00 — 06.00",1722124800000.0,16.0,Partly cloudy.,31.0,1002.0,64,2024-07-28,7,28,2024,6,00:00,06:00
"Sunday 28 July 2024, 06.00 — 12.00",1722146400000.0,21.0,Broken clouds.,34.0,1003.0,61,2024-07-28,7,28,2024,6,06:00,12:00
"Sunday 28 July 2024, 12.00 — 18.00",1722168000000.0,21.0,Broken clouds.,35.0,1000.0,54,2024-07-28,7,28,2024,6,12:00,18:00
"Sunday 28 July 2024, 18.00 — 00.00",1722189600000.0,17.0,Partly cloudy.,34.0,1000.0,57,2024-07-28,7,28,2024,6,18:00,00:00
"Monday 29 July 2024, 00.00 — 06.00",1722211200000.0,18.0,Partly cloudy.,31.0,1001.0,66,2024-07-29,7,29,2024,0,00:00,06:00
"Monday 29 July 2024, 06.00 — 12.00",1722232800000.0,17.0,Scattered clouds.,35.0,1002.0,61,2024-07-29,7,29,2024,0,06:00,12:00
"Monday 29 July 2024, 12.00 — 18.00",1722254400000.0,20.0,Broken clouds.,36.0,1000.0,58,2024-07-29,7,29,2024,0,12:00,18:00
"Monday 29 July 2024, 18.00 — 00.00",1722276000000.0,15.0,Broken clouds.,32.0,1001.0,75,2024-07-29,7,29,2024,0,18:00,00:00
"Sunday 14 July 2024, 18.00 — 00.00",1720980000000.0,9.0,Drizzle. Fog.,30.0,1003.0,82,2024-07-14,7,14,2024,6,18:00,00:00
"Monday 15 July 2024, 00.00 — 06.00",1721001600000.0,14.0,Fog.,29.0,1002.0,80,2024-07-15,7,15,2024,0,00:00,06:00
"Monday 15 July 2024, 06.00 — 12.00",1721023200000.0,17.0,Drizzle. Broken clouds.,29.0,1003.0,82,2024-07-15,7,15,2024,0,06:00,12:00
"Monday 15 July 2024, 12.00 — 18.00",1721044800000.0,13.0,Drizzle. Broken clouds.,29.0,1001.0,85,2024-07-15,7,15,2024,0,12:00,18:00
"Monday 15 July 2024, 18.00 — 00.00",1721066400000.0,19.0,Fog.,29.0,1002.0,84,2024-07-15,7,15,2024,0,18:00,00:00
"Tuesday 16 July 2024, 00.00 — 06.00",1721088000000.0,21.0,Fog.,28.0,1001.0,84,2024-07-16,7,16,2024,1,00:00,06:00
"Tuesday 16 July 2024, 06.00 — 12.00",1721109600000.0,21.0,Broken clouds.,31.0,1003.0,79,2024-07-16,7,16,2024,1,06:00,12:00
"Tuesday 16 July 2024, 12.00 — 18.00",1721131200000.0,18.0,Broken clouds.,32.0,1001.0,70,2024-07-16,7,16,2024,1,12:00,18:00
"Tuesday 16 July 2024, 18.00 — 00.00",1721152800000.0,19.0,Drizzle. Fog.,31.0,1002.0,76,2024-07-16,7,16,2024,1,18:00,00:00
"Wednesday 17 July 2024, 00.00 — 06.00",1721174400000.0,17.0,Fog.,29.0,1002.0,83,2024-07-17,7,17,2024,2,00:00,06:00
"Wednesday 17 July 2024, 06.00 — 12.00",1721196000000.0,13.0,Fog.,33.0,1004.0,79,2024-07-17,7,17,2024,2,06:00,12:00
"Wednesday 17 July 2024, 12.00 — 18.00",1721217600000.0,21.0,Broken clouds.,35.0,1001.0,66,2024-07-17,7,17,2024,2,12:00,18:00
"Wednesday 17 July 2024, 18.00 — 00.00",1721239200000.0,20.0,Partly cloudy.,33.0,1003.0,71,2024-07-17,7,17,2024,2,18:00,00:00
"Thursday 18 July 2024, 00.00 — 06.00",1721260800000.0,20.0,Fog.,30.0,1002.0,78,2024-07-18,7,18,2024,3,00:00,06:00
"Thursday 18 July 2024, 06.00 — 12.00",1721282400000.0,18.0,Fog.,32.0,1004.0,75,2024-07-18,7,18,2024,3,06:00,12:00
"Thursday 18 July 2024, 12.00 — 18.00",1721304000000.0,17.0,Broken clouds.,32.0,1002.0,73,2024-07-18,7,18,2024,3,12:00,18:00
"Thursday 18 July 2024, 18.00 — 00.00",1721325600000.0,18.0,Fog.,28.0,1003.0,84,2024-07-18,7,18,2024,3,18:00,00:00
"Friday 19 July 2024, 00.00 — 06.00",1721347200000.0,18.0,Fog.,28.0,1002.0,80,2024-07-19,7,19,2024,4,00:00,06:00
"Friday 19 July 2024, 06.00 — 12.00",1721368800000.0,19.0,Drizzle. Fog.,32.0,1003.0,76,2024-07-19,7,19,2024,4,06:00,12:00
"Friday 19 July 2024, 12.00 — 18.00",1721390400000.0,21.0,Broken clouds.,32.0,1001.0,71,2024-07-19,7,19,2024,4,12:00,18:00
"Friday 19 July 2024, 18.00 — 00.00",1721412000000.0,20.0,Fog.,30.0,1002.0,79,2024-07-19,7,19,2024,4,18:00,00:00
"Saturday 20 July 2024, 00.00 — 06.00",1721433600000.0,14.0,Fog.,28.0,1002.0,79,2024-07-20,7,20,2024,5,00:00,06:00
"Saturday 20 July 2024, 06.00 — 12.00",1721455200000.0,14.0,Fog.,32.0,1004.0,74,2024-07-20,7,20,2024,5,06:00,12:00
"Saturday 20 July 2024, 12.00 — 18.00",1721476800000.0,19.0,Broken clouds.,34.0,1002.0,65,2024-07-20,7,20,2024,5,12:00,18:00
"Saturday 20 July 2024, 18.00 — 00.00",1721498400000.0,14.0,Passing clouds.,33.0,1003.0,67,2024-07-20,7,20,2024,5,18:00,00:00
"Sunday 21 July 2024, 00.00 — 06.00",1721520000000.0,14.0,Passing clouds.,31.0,1003.0,72,2024-07-21,7,21,2024,6,00:00,06:00
"Sunday 21 July 2024, 06.00 — 12.00",1721541600000.0,17.0,Scattered clouds.,32.0,1004.0,69,2024-07-21,7,21,2024,6,06:00,12:00
"Sunday 21 July 2024, 12.00 — 18.00",1721563200000.0,20.0,Broken clouds.,35.0,1002.0,62,2024-07-21,7,21,2024,6,12:00,18:00
"Sunday 21 July 2024, 18.00 — 00.00",1721584800000.0,19.0,Partly cloudy.,34.0,1004.0,65,2024-07-21,7,21,2024,6,18:00,00:00
"Monday 22 July 2024, 00.00 — 06.00",1721606400000.0,15.0,Partly cloudy.,31.0,1004.0,69,2024-07-22,7,22,2024,0,00:00,06:00
"Monday 22 July 2024, 06.00 — 12.00",1721628000000.0,17.0,Broken clouds.,33.0,1006.0,67,2024-07-22,7,22,2024,0,06:00,12:00
"Monday 22 July 2024, 12.00 — 18.00",1721649600000.0,14.0,Broken clouds.,34.0,1004.0,63,2024-07-22,7,22,2024,0,12:00,18:00
"Monday 22 July 2024, 18.00 — 00.00",1721671200000.0,15.0,Partly cloudy.,33.0,1006.0,66,2024-07-22,7,22,2024,0,18:00,00:00
"Tuesday 23 July 2024, 00.00 — 06.00",1721692800000.0,15.0,Passing clouds.,30.0,1006.0,70,2024-07-23,7,23,2024,1,00:00,06:00
"Tuesday 23 July 2024, 06.00 — 12.00",1721714400000.0,18.0,Broken clouds.,34.0,1007.0,66,2024-07-23,7,23,2024,1,06:00,12:00
"Tuesday 23 July 2024, 12.00 — 18.00",1721736000000.0,21.0,Broken clouds.,36.0,1004.0,59,2024-07-23,7,23,2024,1,12:00,18:00
"Tuesday 23 July 2024, 18.00 — 00.00",1721757600000.0,12.0,Fog.,34.0,1006.0,80,2024-07-23,7,23,2024,1,18:00,00:00
"Wednesday 24 July 2024, 00.00 — 06.00",1721779200000.0,16.0,Fog.,29.0,1005.0,81,2024-07-24,7,24,2024,2,00:00,06:00
"Wednesday 24 July 2024, 06.00 — 12.00",1721800800000.0,17.0,Scattered clouds.,34.0,1005.0,69,2024-07-24,7,24,2024,2,06:00,12:00
"Wednesday 24 July 2024, 12.00 — 18.00",1721822400000.0,20.0,Scattered clouds.,35.0,1002.0,57,2024-07-24,7,24,2024,2,12:00,18:00
"Wednesday 24 July 2024, 18.00 — 00.00",1721844000000.0,16.0,Partly cloudy.,34.0,1003.0,65,2024-07-24,7,24,2024,2,18:00,00:00
"Thursday 25 July 2024, 00.00 — 06.00",1721865600000.0,15.0,Partly cloudy.,30.0,1003.0,72,2024-07-25,7,25,2024,3,00:00,06:00
"Thursday 25 July 2024, 06.00 — 12.00",1721887200000.0,18.0,Broken clouds.,34.0,1004.0,68,2024-07-25,7,25,2024,3,06:00,12:00
"Thursday 25 July 2024, 12.00 — 18.00",1721908800000.0,19.0,Broken clouds.,36.0,1001.0,60,2024-07-25,7,25,2024,3,12:00,18:00
"Thursday 25 July 2024, 18.00 — 00.00",1721930400000.0,16.0,Partly cloudy.,34.0,1003.0,70,2024-07-25,7,25,2024,3,18:00,00:00
"Friday 26 July 2024, 00.00 — 06.00",1721952000000.0,16.0,Partly cloudy.,30.0,1003.0,75,2024-07-26,7,26,2024,4,00:00,06:00
"Friday 26 July 2024, 06.00 — 12.00",1721973600000.0,19.0,Broken clouds.,34.0,1004.0,69,2024-07-26,7,26,2024,4,06:00,12:00
"Friday 26 July 2024, 12.00 — 18.00",1721995200000.0,21.0,Broken clouds.,35.0,1001.0,59,2024-07-26,7,26,2024,4,12:00,18:00
"Friday 26 July 2024, 18.00 — 00.00",1722016800000.0,19.0,Partly cloudy.,34.0,1003.0,66,2024-07-26,7,26,2024,4,18:00,00:00
"Saturday 27 July 2024, 00.00 — 06.00",1722038400000.0,19.0,Partly cloudy.,31.0,1003.0,71,2024-07-27,7,27,2024,5,00:00,06:00
"Saturday 27 July 2024, 06.00 — 12.00",1722060000000.0,21.0,Broken clouds.,33.0,1004.0,67,2024-07-27,7,27,2024,5,06:00,12:00
"Saturday 27 July 2024, 12.00 — 18.00",1722081600000.0,20.0,Broken clouds.,36.0,1001.0,56,2024-07-27,7,27,2024,5,12:00,18:00
"Saturday 27 July 2024, 18.00 — 00.00",1722103200000.0,16.0,Partly cloudy.,34.0,1003.0,61,2024-07-27,7,27,2024,5,18:00,00:00
"Sunday 28 July 2024, 00.00 — 06.00",1722124800000.0,16.0,Partly cloudy.,31.0,1002.0,64,2024-07-28,7,28,2024,6,00:00,06:00
